Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,CouncilArea,Regionname,Price_per_Room,Room_to_Bathroom_Ratio,Property_Age
2,0,1480000.0,2.5,2.0,1.0,1.0,202.0,131.0,1970.0,-37.7996,144.9984,4019.0,31,2,740000.0,1.0,54.0
2,0,1035000.0,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,4019.0,31,2,517500.0,1.0,124.0
3,0,1465000.0,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,4019.0,31,2,488333.3333333333,1.0,124.0
3,0,850000.0,2.5,3.0,2.0,1.0,94.0,131.0,1970.0,-37.7969,144.9969,4019.0,31,2,283333.3333333333,1.0,54.0
4,0,1600000.0,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,4019.0,31,2,400000.0,2.0,10.0
2,0,941000.0,2.5,2.0,1.0,0.0,181.0,131.0,1970.0,-37.8041,144.9953,4019.0,31,2,470500.0,1.0,54.0
3,0,1876000.0,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,4019.0,31,2,625333.3333333334,1.0,114.0
2,0,1636000.0,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,4019.0,31,2,818000.0,1.0,134.0
3,0,1000000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,333333.3333333333,1.5,54.0
2,1,745000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,372500.0,1.0,54.0
1,2,300000.0,2.5,1.0,1.0,1.0,0.0,131.0,1970.0,-37.8008,144.9973,4019.0,31,2,300000.0,0.5,54.0
2,0,1097000.0,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,4019.0,31,2,548500.0,1.0,124.0
2,2,542000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,271000.0,1.0,54.0
2,2,760000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,380000.0,1.0,54.0
1,2,481000.0,2.5,3.0,1.0,2.0,504.0,131.0,1970.0,-37.79812,145.00238,4019.0,31,2,481000.0,0.5,54.0
